Pol6TTaCod,Capitulo,VarRC,VarAIR,diasAseg,SumaAseg,Cobertura,Tasa,Bonif,PrimaRC,PrimaCasco,PrimaNeta
01,1,1,1,182,157000,B,9.5341,0,2116.5,953.41,3184.32
01,1,1,1,182,170000,C2,15.5675,0,2116.5,1556.75,3860.06
01,3,1,2,182,0,A,0,0,6951,0,6951
01,1,2,1,182,1110000,D4I,34.4113,0,2116.5,19098.27,23506.56
01,2,1,1,182,590000,D4,27.1253,0,2116.5,8001.97,11078.71
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,4,1,182,2100000,D4I,27.7066,0,2540,29091.93,35122.96
01,2,1,1,182,600000,D4,27.1253,0,2116.5,8137.59,11230.6
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,3,1,2,182,0,A,0,0,6951,0,6951
01,1,1,1,182,193000,B,9.5341,0,2116.5,953.41,3184.32
01,1,1,1,182,155000,B,9.5341,0,2116.5,953.41,3184.32
01,1,1,1,182,326000,C2,15.5675,0,2116.5,2537.51,4654.01
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,780000,D3I,31.283,0,2116.5,12200.37,14316.87
01,1,1,1,182,214000,D4,32.7727,0,2116.5,3506.68,6043.98
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,200000,D4,32.7727,0,2116.5,3277.27,5787.04
01,3,1,2,182,1395000,C,34.4549,0,5908.5,24032.3,32824.68
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,2,1,182,507000,D4I,34.4113,12,2116.5,8723.27,10460.17
01,1,1,1,182,210000,B,9.5341,0,2116.5,1001.08,3237.71
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,350000,D4,32.7727,0,2116.5,5735.23,8539.96
01,1,1,1,182,218000,C2,15.5675,0,2116.5,1696.86,4016.99
01,1,1,1,182,238000,C2,16.8238,0,2116.5,2002.03,4358.78
01,2,3,1,182,2999000,D4,22.2561,0,2540,33373.02,39917.78
01,1,1,1,182,315000,D4,28.4593,0,2116.5,4482.34,7136.72
01,1,1,1,182,249000,B,9.5341,0,2116.5,1187,3445.94
01,3,2,2,182,0,A,0,0,4943.5,0,4943.5
01,1,1,1,182,690000,D4,25.7913,0,2116.5,8898,12082.26
01,2,1,1,182,580000,D4,25.7913,0,2116.5,7479.48,10493.52
01,1,1,1,182,331000,D4,28.4593,0,2116.5,4710.02,7391.72
01,1,1,1,182,280000,D4,32.7727,0,2116.5,4588.18,7255.26
01,2,1,1,182,360000,D4,29.7934,0,2116.5,5362.81,8122.85
01,1,1,1,182,80000,C1,9.0468,0,2116.5,904.68,3129.74
01,3,1,2,182,0,A,0,0,6951,0,6951
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,1,1,182,197000,D4,32.7727,0,2116.5,3277.27,5787.04
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,1630000,D2,21.9024,0,2540,17850.46,22532.52
01,1,1,1,182,244000,C1,9.0468,0,2116.5,1103.71,3352.66
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,124000,C1,9.0468,0,2116.5,904.68,3129.74
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,3,1,2,182,1560000,C,34.4549,3,5908.5,26874.82,34928.05
01,2,3,1,182,480000,C2,17.1242,0,2540,4109.81,7142.99
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,1,1,182,320000,D4,29.7934,0,2116.5,4766.95,7455.49
01,1,1,1,182,290000,D4,29.7934,0,2116.5,4320.05,6954.96
01,1,1,1,182,345000,D4,32.7727,0,2116.5,5653.29,8448.19
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,242000,C2,15.5675,0,2116.5,1883.67,4226.21
01,1,1,1,182,347000,D4,32.7727,0,2116.5,5686.07,8484.9
01,2,3,1,182,405000,C,17.1242,0,2540,3467.65,6007.65
01,1,2,1,182,315000,D4I,34.4113,0,2116.5,5419.78,8186.66
01,3,1,2,182,475832.5,C1,27.7629,0,5908.5,6605.25,13306.38
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,400000,B,9.5341,0,2540,1906.82,4675.64
01,1,1,1,182,410000,D4,29.7934,0,2116.5,6107.65,8957.07
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,3,1,182,1420000,D2,22.9796,0,2540,16315.52,20813.38
01,1,1,1,182,520000,C2,14.0609,0,2116.5,3655.84,6211.04
01,2,3,1,182,860000,D2,20.8253,0,2540,8954.88,12569.47
01,3,1,2,182,1675000,C,34.4549,0,5908.5,28855.98,38227.2
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,3,1,2,182,1485000,C1,27.7629,0,5908.5,20613.96,26522.46
01,3,1,2,182,0,A,0,0,6951,0,6951
01,3,1,2,182,0,A,0,0,6951,0,8608
01,8,1,2,182,0,A,0,0,1657,0,8608
01,3,1,2,182,0,A,0,0,6951,0,6951
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,615000,D4,27.1253,0,2116.5,8341.03,11458.46
01,2,3,1,182,425000,C1,9.0468,0,2540,1922.45,4693.15
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,3,2,2,182,0,A,0,0,4943.5,0,4943.5
01,1,1,1,182,330000,C2,15.5675,0,2116.5,2568.64,4993.38
01,1,1,1,182,930000,D4,25.7913,0,2116.5,11992.96,15548.62
01,1,1,1,182,223000,C2,15.5675,0,2116.5,1735.78,4060.58
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,3750000,D4I,27.0808,0,2116.5,50776.5,58986.18
01,1,2,1,182,375000,C2,15.5675,0,2116.5,2918.91,5385.68
01,1,1,1,182,410000,C2,14.8142,0,2116.5,3036.91,5517.84
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,91,2900000,D4,23.6187,0,1270,17123.56,18393.56
01,1,2,1,169,320000,D4I,34.4113,0,1959.94,5098.53,7670.29
01,4,5,16,182,0,A,0,0,647.5,0,821.5
01,4,3,16,182,0,A,0,0,174,0,821.5
01,1,1,1,182,235000,C2,15.5675,0,2116.5,1829.18,4165.18
01,3,2,2,182,0,A,0,0,4943.5,0,4943.5
01,2,3,1,182,1350000,D4,26.344,0,2540,17782.2,22456.07
01,1,1,1,182,208000,C2,15.5675,0,2116.5,1619.02,3735.52
01,1,1,1,182,181000,C2,15.5675,0,2116.5,1556.75,3860.06
01,1,1,1,182,174000,D4,32.7727,0,2116.5,3277.27,5787.04
01,1,1,1,182,188000,C,15.5675,0,2116.5,1556.75,3860.06
01,2,1,1,182,210000,B,9.5341,0,2116.5,1001.08,3237.71
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,278000,D4,32.7727,0,2116.5,4555.41,7218.56
01,1,1,1,182,435000,D4,28.4593,0,2116.5,6189.9,9049.19
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,330000,D4,32.7727,0,2116.5,5407.5,8172.9
01,2,1,1,182,401000,D4,29.7934,0,2116.5,5973.58,8806.91
01,2,3,1,182,1000000,D4,30.4318,0,2540,15215.9,19581.81
01,2,3,1,182,1490000,D4,29.0692,0,2540,21656.56,26795.35
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,237000,C2,15.5675,0,2116.5,1844.75,4182.62
01,2,3,1,182,940000,D4,30.4318,0,2540,14302.95,18559.31
01,1,1,1,182,170000,C2,15.5675,0,2116.5,1556.75,3860.06
01,2,4,1,182,785000,D4I,33.475,0,2540,13138.94,17255.62
01,2,1,1,182,630000,D4,28.4593,0,2116.5,8964.68,12156.94
01,1,1,1,182,307000,D4,32.7727,0,2116.5,5030.61,7750.79
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,316000,B,9.1072,0,2116.5,1438.94,3728.12
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,4,1,182,0,A,0,0,2988.5,0,2988.5
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,248000,C2,16.8238,0,2116.5,2086.15,4452.99
01,1,1,1,182,440000,D2,23.5521,11,2116.5,5181.46,7048.57
01,2,3,1,182,2050000,D4,24.9813,0,2540,25605.84,31218.54
01,1,1,1,182,510000,C2,14.8142,0,2116.5,3777.62,6347.44
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,2,1,182,285000,D4I,34.4113,0,2116.5,4903.61,7608.55
01,2,3,1,182,900000,B,9.5341,0,2540,4290.35,7345.19
01,8,2,2,182,353689.6,B1,13.6577,0,1408,2415.3,4113.14
01,2,1,1,182,595000,D4,28.4593,0,2116.5,8466.64,11599.14
01,2,1,1,182,625000,D4,27.1253,0,2116.5,8476.66,11610.36
01,2,3,1,182,1350000,D4,26.344,0,2540,17782.2,22456.07
01,1,1,1,182,324000,C2,15.5675,0,2116.5,2521.94,4941.07
01,1,1,1,182,600000,D4,27.1253,0,2116.5,8137.59,11230.6
01,8,1,2,182,872437.5,B,19.0011,0,1408,8288.64,10691.28
01,1,2,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,165000,C,15.5675,0,2116.5,1556.75,3860.06
01,3,1,2,182,0,A,0,0,6951,0,6951
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,575000,C2,15.5675,0,2116.5,4475.66,7129.24
01,1,1,1,182,275000,C2,16.8238,0,2116.5,2313.28,4707.38
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,380000,D4I,34.4113,0,2116.5,6538.15,9439.23
01,1,2,1,182,1200000,D4I,34.4113,0,2116.5,20646.78,25240.9
01,1,1,1,182,780000,D4,28.4593,0,2116.5,11099.13,14547.53
01,1,1,1,182,323000,C2,15.5675,0,2116.5,2514.15,4932.35
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,304000,C2,15.5675,0,2116.5,2366.26,4766.71
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,3,1,2,182,6600000,B,23.7122,0,5908.5,78250.26,84158.76
01,1,2,1,182,260000,C2,16.8238,0,2116.5,2187.1,4566.05
01,1,1,1,182,455000,C2,15.5675,0,2116.5,3541.61,6083.11
01,3,1,2,182,3772714,C,34.4549,19,5908.5,64994.24,63748.66
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,8,1,2,182,0,A,0,0,1657,0,1657
01,3,1,2,182,0,A,0,0,6951,0,6951
01,1,1,1,182,250000,D4,32.7727,0,2116.5,4096.59,6704.68
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,2,182,121000,B1,4.3515,0,2540,522.18,3124.84
01,1,1,1,182,180000,B,9.5341,0,2116.5,953.41,3184.32
01,1,1,1,182,480000,D4,29.7934,0,2116.5,7150.42,10124.97
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,320000,C2,15.5675,0,2116.5,2490.8,4607.3
01,7,3,1,182,0,A,0,0,622.5,0,622.5
01,1,1,1,182,475000,D2,20.3883,0,2116.5,4842.22,7539.79
01,2,3,1,182,1080000,D4,33.475,0,2540,18076.5,22785.68
01,1,1,1,182,240000,B,9.5341,0,2116.5,1144.09,3397.88
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,2,1,182,625000,D4I,31.283,0,2116.5,9775.94,13065.56
01,1,1,1,182,350000,D2,23.5521,0,2116.5,4121.62,6732.72
01,1,2,1,182,410000,C,15.5675,0,2116.5,3191.34,5690.8
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,910000,D4,27.1253,0,2116.5,12342.01,15939.55
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,2,4,1,182,1020000,D2I,26.4624,0,2540,13495.83,16035.83
01,3,1,2,182,0,A,0,0,6951,0,6951
01,2,3,1,182,1160000,D2,24.0568,5,2540,13952.95,15668.3
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,3,1,2,182,0,A,0,0,6951,0,6951
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,1,1,182,87000,C1,9.0468,0,2116.5,904.68,3155.08
01,1,1,1,182,87000,B1,3.9526,0,2116.5,395.26,2559.19
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,3,1,182,360000,C,17.1242,0,2540,3082.36,5992.25
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,2,1,182,1170000,D4I,28.4815,0,2116.5,16661.68,20777.58
01,2,1,1,182,317000,D4,32.7727,0,2116.5,5194.48,8484.9
01,2,3,1,182,1660000,D3,23.9491,0,2540,19877.76,22417.76
01,2,3,1,182,1900000,D4,24.9813,0,2540,23732.24,26272.24
01,2,3,1,182,0,A,0,0,2988.5,0,2988.5
01,1,1,1,182,585000,D4,29.7934,0,2116.5,8714.57,11876.82
01,1,1,1,182,440000,B,9.5341,0,2116.5,2097.5,4465.7
01,1,1,1,182,485000,D4,29.7934,0,2116.5,7224.9,10208.39
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,1,1,1,182,430000,C2,15.5675,0,2116.5,3347.02,5865.16
02,1,1,1,182,635000,D4,29.7934,0,1904.5,9459.41,12499.04
01,2,1,1,182,216000,D4,32.7727,0,2116.5,3539.45,6080.69
01,8,1,2,182,0,A,0,0,1657,0,1657
01,8,1,2,182,0,A,0,0,1657,0,1657
01,1,2,1,182,800000,D4I,31.283,0,2116.5,12513.2,16131.29
01,2,3,1,182,640000,D4,33.475,0,2540,10712,14537.44
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,1,1,182,0,A,0,0,2490.5,0,2490.5
01,2,4,1,182,600000,B1,3.9526,0,2540,1185.78,3725.78
01,2,3,1,182,830000,D4,33.475,0,2540,13892.13,18099.19
01,2,1,1,182,116000,C1,9.0468,0,2116.5,904.68,3129.74
01,3,1,2,182,0,A,0,0,6951,0,6951
01,1,1,1,182,485000,D4,29.7934,0,2116.5,7224.9,10208.39
01,1,1,1,182,0,A,0,0,2490.5,0,2490.5
